name,brand,model,size,length_mm,width_mm,height_mm,weight_g,shape,hand,hump_placement,front_flare,side_curvature,sensor,sensor_type,sensor_position,max_dpi,polling_rate_hz,side_buttons,switches,material,connectivity
Kreo Harpy,Kreo,Harpy,Medium,121.0,63.0,37.6,55.0,Symmetrical,Right,Back - moderate,Flat,Flat,Instant A825,Optical,Centered (49%),12800,1000.0,2,Unspecified Mechanical Switches,Plastic,Wired
be quiet! Dark Perk Sym,be quiet!,Dark Perk Sym,Medium,123.0,66.0,39.0,55.0,Symmetrical,Right,Back - moderate,Outward - slight,Inward,PixArt PAW3950,Optical,Centered (52%),32000,8000.0,2,Omron Optical,Plastic,Wireless
be quiet! Dark Perk Ergo,be quiet!,Dark Perk Ergo,Medium,120.0,66.0,40.0,55.0,Ergonomic,Right,Back - minimal,Outward - slight,Flat,PixArt PAW3950,Optical,Centered (52%),32000,8000.0,2,Omron Optical,Plastic,Wireless
Kreo Hawk,Kreo,Hawk,Large,125.0,80.0,41.0,110.0,Ergonomic,Right,Center,Flat,Flat,PixArt PAW3327,Optical,Forward (54%),12400,1000.0,5,Huano Black Shell Pink Dot,Plastic,Wired
VXE R1 S,VXE,R1 S,Medium,120.6,64.0,37.8,55.0,Symmetrical,Right,Back - moderate,Flat,Flat,Xhero AI,Optical,Centered (50%),-,1000.0,2,Huano Blue Shell White Dot,Plastic,Wireless
MCHOSE A5 V3,MCHOSE,A5 V3,Medium,121.6,61.5,37.7,56.0,Symmetrical,Right,Center,Outward - slight,Flat,PixArt PAW3395,Optical,Forward (56%),26000,8000.0,2,Omron D2FC-F-7N(100M),Plastic,Wireless
MelGeek Horus,MelGeek,Horus,Medium,124.0,66.0,39.0,49.0,Symmetrical,Right,Back - minimal,Outward - slight,Flat,PixArt PAW3950,Optical,Centered (50%),30000,8000.0,2,Omron D2FC-F-7N(100M),Plastic,Wireless
MAMBASNAKE M2,MAMBASNAKE,M2,Small,116.2,61.6,38.4,41.0,Symmetrical,Right,Center,Outward - moderate,Inward,PixArt PAW3395 Pro,Optical,Centered (50%),40000,1000.0,2,Omron D2FC-F-7N(100M),Carbon fiber composite,Wireless
Razer Viper V3 Pro SE,Razer,Viper V3 Pro SE,Large,127.1,63.9,39.9,54.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,Razer Focus Pro Gen-2,Optical,Centered (53%),35000,1000.0,2,Razer Optical Mouse Switches Gen-3,Plastic,Wireless
ASUS ROG Harpe Mini Core,ASUS,ROG Harpe Mini Core,Small,117.0,63.0,37.0,52.0,Symmetrical,Right,Back - moderate,Outward - slight,Flat,PixArt PAW3311,Optical,Centered (52%),12000,1000.0,2,ASUS ROG Micro Switch II,Plastic,Wired
ATK GHOST Extreme,ATK,GHOST Extreme,Medium,121.0,61.3,38.0,48.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,PixArt PAW3950 Ultra,Optical,Centered (52%),42000,8000.0,2,ATK Optical Switches,Carbon fiber composite,Wireless
ATK GHOST Ultimate,ATK,GHOST Ultimate,Medium,121.0,61.3,38.0,48.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,PixArt PAW3950 Ultra,Optical,Centered (52%),42000,8000.0,2,ATK Light Blade,Carbon fiber composite,Wireless
cOoLm0Dz Qt1p,cOoLm0Dz,Qt1p,Fingertip,80.2,59.9,24.2,19.0,Symmetrical,Ambidextrous,Back - moderate,Inward - moderate,Flat,PixArt PAW3399,Optical,Backward (42%),20000,8000.0,0,Omron D2F-01F,Plastic,Wired
Kreo Ikarus,Kreo,Ikarus,Medium,121.0,63.4,37.6,55.0,Symmetrical,Right,Center,Outward - moderate,Inward,PixArt PAW3395,Optical,Centered (51%),26000,4000.0,2,Omron Optical,Plastic,Wireless
PMM PULSE W,PMM,PULSE W,Medium,119.2,60.8,37.2,37.0,Symmetrical,Right,Back - moderate,Flat,Flat,PixArt PAW3950,Optical,Forward (55%),30000,4000.0,2,Kailh GX,Plastic,Wireless
Xiaomi Wireless Mouse 3,Xiaomi,Wireless Mouse 3,Medium,119.0,64.0,41.0,57.0,Symmetrical,Right,Back - moderate,Outward - moderate,Inward,PixArt PAW3311,Optical,Forward (54%),12000,1000.0,2,UnspecifiedTTC Silent,Plastic,Wireless
LunaFury TYPE77,LunaFury,TYPE77,Medium,122.0,61.0,36.5,43.5,Symmetrical,Right,Back - minimal,Outward - slight,Inward,PixArt PAW3950,Optical,Forward (55%),30000,8000.0,2,Omron Optical,Plastic,Wireless
LunaFury TYPE33,LunaFury,TYPE33,Medium,119.3,63.6,37.3,40.0,Symmetrical,Right,Center,Outward - slight,Flat,PixArt PAW3950 Pro,Optical,Forward (55%),30000,8000.0,2,Omron Optical,Plastic,Wireless
Hator Quasar 3 Ultra,Hator,Quasar 3 Ultra,Large,125.0,64.0,40.0,65.0,Symmetrical,Right,Center,Outward - slight,Flat,PixArt PAW3950,Optical,Centered (50%),30000,8000.0,2,Hator x Kailh Optical,Plastic,Wireless
Hator Quasar 3 Wireless,Hator,Quasar 3 Wireless,Large,125.0,64.0,40.0,64.0,Symmetrical,Right,Center,Outward - slight,Flat,PixArt PAW3311,Optical,Centered (50%),12000,1000.0,2,Hator x Kailh Optical,Plastic,Wireless
Corsair Sabre v2 Pro CF,Corsair,Sabre v2 Pro CF,Medium,122.9,64.1,38.8,55.0,Symmetrical,Right,Center,Outward - moderate,Flat,Corsair MARKSMAN S,Optical,Centered (51%),33000,8000.0,2,Huano Transparent Crystal Shell White Dot,Carbon fiber,Wireless
Corsair Sabre v2 Pro MG,Corsair,Sabre v2 Pro MG,Medium,122.9,64.1,38.8,56.0,Symmetrical,Right,Center,Outward - moderate,Flat,Corsair MARKSMAN S,Optical,Centered (51%),33000,8000.0,2,Huano Transparent Crystal Shell White Dot,Magnesium (metal),Wireless
Press Play SPIRIT Pro,Press Play,SPIRIT Pro,Small,118.0,63.4,37.5,44.0,Symmetrical,Right,Back - moderate,Flat,Flat,PixArt PAW3950,Optical,Forward (55%),30000,8000.0,2,Omron Optical,Plastic,Wireless
AULA X9 Ultra,AULA,X9 Ultra,Medium,120.0,63.0,38.0,49.0,Symmetrical,Right,Back - moderate,Flat,Inward,PixArt PAW3950,Optical,Centered (52%),42000,8000.0,2,Omron Optical,Plastic,Wireless
AULA X9 Pro,AULA,X9 Pro,Medium,120.0,63.0,38.0,49.0,Symmetrical,Right,Back - moderate,Flat,Inward,PixArt PAW3395,Optical,Centered (52%),26000,8000.0,2,Omron Optical,Plastic,Wireless
